Nombre; apellido;DNI; email personal; tel‚fono de contacto;CVU/CBU;Inquilino
PATRICIA A ;SANDOVAL;23235955;SANDOVAL_PATRICIA A @email.com;1120639588;3622546757575540000000;1
 Mariela;NANIN;23247521;NANIN_ Mariela@email.com;1120639590;8899158762922760000000;1
OSNAGHI ANDREA; LORENA;23273814; LORENA_OSNAGHI ANDREA@email.com;1120639674;6793018414117640000000;1
 ALEJANDRA;PAULETTE;23285089;PAULETTE_ ALEJANDRA@email.com;1120639615;4532573105843790000000;0
LUCIANA VANESA ;FERNANDEZ LOPEZ;23303828;FERNANDEZ LOPEZ_LUCIANA VANESA @email.com;1120639675;8466841099794280000000;1
JAIME DANIEL ;MORENO;23332976;MORENO_JAIME DANIEL @email.com;1120639625;8672747146995710000000;0
Santiago; Latrecchiana;23342410; Latrecchiana_Santiago@email.com;1120639606;2281135864391360000000;1
PAMELA GABRIELA; MINO;23342938; MINO_PAMELA GABRIELA@email.com;1120639649;3154817750445590000000;1
SILVIO IVAN; MENES;23348199; MENES_SILVIO IVAN@email.com;1120639594;9064821306055800000000;1
ALEJANDRA GABRIELA ;SALEMME;23355360;SALEMME_ALEJANDRA GABRIELA @email.com;1120639650;2047835249457480000000;1
 SAMANTA L;GARCIA;23381679;GARCIA_ SAMANTA L@email.com;1120639564;1529399085474410000000;0
FLAVIA MIRIAM; GIRA;24245586; GIRA_FLAVIA MIRIAM@email.com;1120639651;5738542183850040000000;0
PAMELA E CARABAJAL; GONZALEZ;24306777; GONZALEZ_PAMELA E CARABAJAL@email.com;1120639652;8913811465076470000000;0
GRACIELA JUDITH ;SANCHEZ;24369028;SANCHEZ_GRACIELA JUDITH @email.com;1120639653;5468347189492110000000;0
 SILVIA VIVIANA;CARNERO;27169626;CARNERO_ SILVIA VIVIANA@email.com;1120639561;8552897590627620000000;0
ZURITA GLORIA R; SANCHEZ;27190262; SANCHEZ_ZURITA GLORIA R@email.com;1120639654;2129873779400220000000;1
GLADYS BEATRIZ ;PIZARRO;27229378;PIZARRO_GLADYS BEATRIZ @email.com;1120639676;9918705234345920000000;1
CARLA ELIANA ;BRAVO;27249769;BRAVO_CARLA ELIANA @email.com;1120639677;2567099084090720000000;0
 EMILSE VIRGINIA;ACHEGA;27250604;ACHEGA_ EMILSE VIRGINIA@email.com;1120639580;3542404477456310000000;0
ARACELLI MARIA A ;MERCADO;27256384;MERCADO_ARACELLI MARIA A @email.com;1120639618;8401655961961310000000;1
MALENA VIVIANA; ARIAS;27258698; ARIAS_MALENA VIVIANA@email.com;1120639678;5120658000397530000000;1
ELIANA SOLEDAD ;DIAZ;27270489;DIAZ_ELIANA SOLEDAD @email.com;1120639655;3354991467350240000000;1
MARIA EVA ;FERREYRA;27273981;FERREYRA_MARIA EVA @email.com;1120639656;4985434974457620000000;0
Mar¡a Lorena ;Ojeda;2728028;Ojeda_Mar¡a Lorena @email.com;1120639657;5930181715250340000000;0
VIRGINIA SOLEDAD;RODRIGUEZ;27287772;RODRIGUEZ_VIRGINIA SOLEDAD@email.com;1120639572;5782501953513740000000;0
 MARIANA SABRINA;PEREZ;27294701;PEREZ_ MARIANA SABRINA@email.com;1120639581;4738588789752250000000;0
PATRICIA NATALIA; TRINIDAD;27296824; TRINIDAD_PATRICIA NATALIA@email.com;1120639658;5103976690518920000000;0
 MARIA ESTER;ACU¥A;27297039;ACU¥A_ MARIA ESTER@email.com;1120639612;9748929398242090000000;0
 JESICA PAOLA;FERREYRA;27297895;FERREYRA_ JESICA PAOLA@email.com;1120639567;3253840470755770000000;0
SILVINA FERNANDA; YEGROS;27297917; YEGROS_SILVINA FERNANDA@email.com;1120639659;5465692922711630000000;1
RUTH ELIZABETH ;TOLOZA;27298715;TOLOZA_RUTH ELIZABETH @email.com;1120639626;3569167187044620000000;1
SALINAS CARMEN; SOLEDAD;27304941; SOLEDAD_SALINAS CARMEN@email.com;1120639660;4462155701852230000000;1
SOLANGE B; GONZALEZ;27310492; GONZALEZ_SOLANGE B@email.com;1120639630;2645474487824410000000;1
 JULIANA VANESA;MAIDANA;27313444;MAIDANA_ JULIANA VANESA@email.com;1120639566;7168192492596300000000;1
